Term
 EDGAR
 Filing
 Financial Disclosure
 Financial Statement
 Public Disclosure
 Accounting Disclosure
 Accounting Report
 Accounting Statement
 Disclosure Report
 Annual Report
 10-K
 20-F
 1-K
 Quarterly Report
 10-Q
 Current Report
 8-K
 1-U
 Proxy Statement
 DEF 14A
 Offering Statement
 Registration Statement
 Prospectus
 F-1
 Form 1-A
 Form 424BX
 Form 425
 S-1
 S-3
 S-4
 Statement of Beneficial Ownership
 Statement of Changes in Beneficial Ownership
 13F-HR
 Form 3
 Form 4
 Form 5
 SC 13D
 SC 13G
 Tender Offer Statement
 SC 14D9
 SC TO-T
 CORRESP
 Exit Report
 Press Release
 SEC Correspondence
 Semiannual Report
 6-K
 Form 1-A
 Form 1-SA
Form 1-Z
SEC data
SEC database
SEC document
SEC documents
SEC documentation
SEC file
SEC files
SEC submission
SEC submissions
submitted to the SEC
filed with the SEC
submitting to the SEC
EDGAR's
filings
financial disclosures
financial statements
public disclosures
 Accounting Disclosures
accounting reports
accounting statements
disclosure reports
annual reports
10-Ks
20-Fs
1-Ks
quarterly reports
10-Qs
current reports
8-Ks
1-Us
proxy statements
DEF 14As
offering statements
registration statements
prospectuses
F-1s
Form 1-As
Form 424BXs
Form 425s
S-1s
S-3s
S-4s
statements of beneficial ownership
statements of changes in beneficial ownership
13F-HRs
Form 3s
Form 4s
Form 5s
SC 13Ds
SC 13Gs
tender offer statements
SC 14D9s
SC TO-Ts
CORRESPs
exit reports
press releases
SEC Correspondence's
semiannual reports
6-Ks
Form 1-As
Form 1-Sas
Form 1-Zs
filing's
financial disclosure's
financial statement's
public disclosure's
 Accounting Disclosure's
accounting report's
accounting statement's
disclosure report's
annual report's
10-K's
20-F's
1-K's
quarterly report's
10-Q's
current report's
8-K's
1-U's
proxy statement's
DEF 14A's
offering statement's
registration statement's
prospectus'
F-1's
Form 1-A's
Form 424BX's
Form 425's
S-1's
S-3's
S-4's


13F-HR's
Form 3's
Form 4's
Form 5's
SC 13D's
SC 13G's
tender offer statement's
SC 14D9's
SC TO-T's
CORRESP's
exit report's
press release's

semiannual report's
6-K's
Form 1-A's
Form 1-SA's
Form 1-Z's
filings'
financial disclosures'
financial statements'
public disclosures'
 Accounting Disclosures'
accounting reports'
accounting statements'
disclosure reports'
annual reports'
10-Ks'
20-Fs'
1-Ks'
quarterly reports'
10-Qs
current reports'
8-Ks'
1-Us'
proxy statements'
DEF 14As'
offering statements'
registration statements'

F-1s'
Form 1-As'
Form 424BXs'
Form 425s'
S-1s'
S-3s'
S-4s'


13F-HRs'
Form 3s'
Form 4s'
Form 5s'
SC 13Ds'
SC 13Gs'
tender offer statements'
SC 14D9s'
SC TO-Ts'
CORRESPs'
exit reports'
press releases'

semiannual reports'
6-Ks'
Form 1-As'
Form 1-Sas'
Form 1-Zs'
